col_1,CÓDIGO,col_3,col_4,MATERIA,col_6
1012-o,,,,PERMITIR EL TRABAJO DE ADOLESCENTES CON EDAD PARA TRABAJAR EN HORARIO NOCTURNO,
,,,,EN ESTABLECIMIENTOS INDUSTRIALES Y COMERCIALES.,
1012-p,,,,NO EVALUAR O NO INCORPORAR EN LA MATRIZ DE IDENTIFICACIÓN DE PELIGROS Y EVALUACIÓN,
,,,,"DE RIESGOS DE LA EMPRESA, LA EVALUACIÓN DEL PUESTO DE TRABAJO EN EL QUE SE",
,,,,DESEMPEÑARÁ UN ADOLESCENTE CON EDAD PARA TRABAJAR.,
1012-q,,,,"NO EFECTUAR UNA EVALUACIÓN DEL PUESTO DE TRABAJO EN EL QUE SE DESEMPEÑARÁ NIÑO,",
,,,,NIÑA O ADOLESCENTE SIN EDAD PARA TRABAJAR.,
1012-t,,,,NO ESTABLECER UN PROGRAMA CON LAS MEDIDAS PREVENTIVAS Y CORRECTIVAS PARA LOS,
,,,,"RIESGOS DETECTADOS, LOS PLAZOS DE CUMPLIMIENTO, CONTROLES PERIÓDICOS DE SUS",
,,,,"RESULTADOS, PROCEDIMIENTOS Y RESPONSABLES, CONFORME LA EVALUACIÓN DEL PUESTO DE",
,,,,TRABAJO EN EL QUE SE DESEMPEÑA ADOLESCENTE CON EDAD PARA TRABAJAR.,
1012-u,,,,NO ESTABLECER UN PROGRAMA CON LAS MEDIDAS PREVENTIVAS Y CORRECTIVAS PARA LOS,
,,,,"RIESGOS DETECTADOS, LOS PLAZOS DE CUMPLIMIENTO, CONTROLES PERIÓDICOS DE SUS",
,,,,"RESULTADOS, PROCEDIMIENTOS Y RESPONSABLES, CONFORME LA EVALUACIÓN DEL PUESTO DE",
,,,,"TRABAJO EN EL QUE SE DESEMPEÑA NIÑO, NIÑA O ADOLESCENTE SIN EDAD PARA TRABAJAR.",
1012-v,,,,"NO IMPLEMENTAR EN EL ORDEN DE PRELACIÓN LEGAL, LAS MEDIDAS PREVENTIVAS Y",
,,,,CORRECTIVAS PARA LOS RIESGOS DETECTADOS PARA ADOLESCENTE CON EDAD PARA TRABAJAR.,
1012-y,,,,NO DAR ESTRICTO CUMPLIMIENTO A LA OBLIGACIÓN DE INFORMAR LOS FACTORES DE RIESGO,
,,,,"LABORAL A LOS QUE SE EXPONDRÁN NIÑOS, NIÑAS O ADOLESCENTES SIN EDAD PARA TRABAJAR",
,,,,Y A LAS MEDIDAS DE PREVENCIÓN ESPECÍFICAS QUE SE DEBERÁN ADOPTAR PARA SU,
,,,,PROTECCIÓN.,
1012-z,,,,NO REMITIR COPIA DE LOS FACTORES DE RIESGO Y DE LAS MEDIDAS DE PREVENCIÓN,
,,,,"ESPECÍFICAS, RESPECTO DE ADOLESCENTES CON EDAD PARA TRABAJAR, A LAS PERSONAS O",
,,,,"ENTIDADES QUE DIERON LA AUTORIZACIÓN PARA CELEBRAR EL CONTRATO DE TRABAJO, DE",
,,,,CONFORMIDAD AL ARTÍCULO 14 LETRA B) DEL CÓDIGO DEL TRABAJO.,
1013-a,,,,TRABAJO DE MENOR DE 21 AÑOS EN FAENAS SUBTERRÁNEAS MINERAS SIN CUMPLIR REQUISITOS,
,,,,LEGALES,
1013-b,,,,NO PROPORCIONAR O NO LLEVAR UN CONTROL ESTRICTO DEL CUMPLIMIENTO DE LA,
,,,,"CAPACITACIÓN NECESARIA Y ADECUADA A SU EDAD, PARA QUE PUEDA DESARROLLAR SUS",
,,,,"LABORES EN FORMA SEGURA Y SALUDABLE, RESPECTO DE ADOLESCENTE CON EDAD PARA",
,,,,TRABAJAR.,
1013-c,,,,"NO PROPORCIONAR A NIÑO, NIÑA O ADOLESCENTE SIN EDAD PARA TRABAJAR, LA CAPACITACIÓN",
,,,,"NECESARIA Y ADECUADA A SU EDAD, PARA QUE PUEDA DESARROLLAR SUS LABORES EN FORMA",
,,,,SEGURA Y SALUDABLE.,
1013-f,,,,"NO INCORPORAR EN EL CONTRATO DE TRABAJO DE ADOLESCENTE CON EDAD PARA TRABAJAR,",
,,,,"ADEMÁS DE LO ESTABLECIDO EN EL ARTÍCULO 10 DEL CÓDIGO DEL TRABAJO, LA INFORMACIÓN",
,,,,"SEÑALADA EN LAS LETRAS A. A LA G., DEL N° 1 DEL ARTÍCULO 6° DEL D.S. N° 1, DE 2021, DE LOS",
